Date,Description,Amount,Balance
6/23/2023 12:08PM,Panther Grocery 74,-7.37,162.09
6/22/2023 04:56PM,Panther Dining 70 WS6,-10.00,169.46
6/22/2023 12:45PM,Panther Grocery 74,-7.57,179.46
6/21/2023 04:35PM,UGRYD 5900 Vending,-2.00,187.03
6/21/2023 11:58AM,Panther Grocery 74,-8.36,189.03
6/20/2023 12:41PM,Panther Grocery 74,-8.36,197.39
6/19/2023 02:25PM,Panther Grocery 74,-9.75,205.75
6/18/2023 02:21PM,Panther Dining 70 WS6,-12.00,215.50
6/17/2023 05:54PM,Panther Dining 70 WS6,-10.00,227.50
6/16/2023 06:01PM,Panther Dining 70 WS6,-10.00,237.50
6/16/2023 11:56AM,Panther Grocery 74,-7.37,247.50
6/15/2023 01:31PM,Panther Grocery 74,-7.37,254.87
6/14/2023 11:49AM,Panther Grocery 74,-7.37,262.24
6/14/2023 09:34AM,Panther Grocery 74,-4.58,269.61
6/13/2023 12:39PM,Panther Grocery 74,-7.97,274.19
6/12/2023 05:25PM,Panther Dining 70 WS6,-10.00,282.16
6/12/2023 03:32PM,UGRYD 5900 Vending,-2.55,292.16
6/12/2023 11:59AM,Panther Grocery 74,-7.37,294.71
6/09/2023 12:00PM,Panther Grocery 74,-8.77,302.08
6/08/2023 01:15PM,Panther Grocery 74,-4.29,310.85
6/07/2023 12:03PM,Panther Grocery 74,-8.07,315.14
6/06/2023 06:21PM,Panther Dining 70 WS6,-10.00,323.21
6/06/2023 02:18PM,Panther Grocery 74,-4.29,333.21
6/06/2023 12:46PM,UGRYD 5900 Vending,-2.00,337.50
6/05/2023 12:00PM,Panther Grocery 74,-10.27,339.50
6/02/2023 01:02PM,Panther Grocery 74,-7.57,349.77
6/01/2023 12:27PM,Panther Grocery 74,-6.97,357.34
5/31/2023 12:03PM,Panther Grocery 74,-12.37,364.31
5/30/2023 12:57PM,Panther Grocery 74,-11.66,376.68
5/29/2023 02:26PM,Panther Grocery 74,-9.17,388.34
5/28/2023 02:43PM,Panther Dining 71 WS6,-9.00,397.51
5/26/2023 12:03PM,Panther Grocery 74,-8.18,406.51
5/25/2023 10:49AM,Panther Grocery 74,-7.58,414.69
5/24/2023 12:00PM,Panther Grocery 74,-16.17,422.27
5/23/2023 12:12PM,Panther Grocery 74,-5.98,438.44
5/22/2023 12:03PM,Panther Grocery 74,-5.38,444.42
5/21/2023 06:10PM,Panther Dining 70 WS6,-10.00,449.80
5/19/2023 11:59AM,Panther Grocery 74,-5.38,459.80
5/18/2023 12:53PM,Panther Grocery 74,-7.78,465.18
5/17/2023 12:04PM,Panther Grocery 74,-5.38,472.96
5/16/2023 12:02PM,Panther Grocery 74,-5.68,478.34
5/15/2023 05:44PM,Panther Dining 70 WS6,-10.00,484.02
5/15/2023 12:05PM,Panther Grocery 74,-5.98,494.02
5/09/2023 12:55PM,Campus SVC Kim Kressler 9070,-0.13,500.00
5/08/2023 06:51AM,PatronImport Location - Credit,500.00,500.13
5/06/2023 01:43PM,Panther Grocery 74,-24.25,0.13
5/06/2023 01:12PM,Panther Grocery 74,-20.94,24.38
5/06/2023 10:07AM,Panther Grocery 74,-7.13,45.32
5/05/2023 07:00PM,Panther Dining 70 WS6,-10.00,52.45
5/04/2023 11:29PM,UGRYD 5900 Vending,-2.60,62.45
5/04/2023 08:37PM,Panther Grocery 74,-2.39,65.05
5/04/2023 06:38PM,Panther Grocery 74,-7.97,67.44
5/04/2023 02:24PM,Panther Dining 70 WS6,-9.00,75.41
5/04/2023 08:34AM,Panther Grocery 74,-3.54,84.41
5/03/2023 07:39PM,Panther Grocery 74,-5.88,87.95
5/03/2023 02:37PM,Panther Grocery 74,-7.47,93.83
5/03/2023 08:34AM,Panther Grocery 74,-3.54,101.30
5/02/2023 05:52PM,Panther Grocery 74,-5.68,104.84
5/02/2023 12:32PM,Panther Dining 70 WS6,-9.00,110.52
5/02/2023 09:38AM,Panther Grocery 74,-7.13,119.52
5/02/2023 01:02AM,UGRYD 5900 Vending,-2.00,126.65
5/01/2023 08:14PM,Panther Grocery 74,-7.18,128.65
5/01/2023 01:45PM,Panther Grocery 74,-9.08,135.83
5/01/2023 10:05AM,Panther Grocery 74,-3.54,144.91
4/30/2023 09:58PM,UGRYD 5900 Vending,-2.55,148.45
4/30/2023 06:09PM,Panther Grocery 74,-7.67,151.00
4/30/2023 02:43PM,Panther Grocery 74,-6.37,158.67
4/30/2023 10:19AM,Panther Grocery 74,-5.54,165.04
4/29/2023 06:57PM,Panther Dining 70 WS6,-10.00,170.58
